DC ID,Latitude,Longitude,Assemb,Fixed,q0,c0,q1_old,c1,q2_old,c2
DC0327,26.931,-80.109,7.28,170600,150000,0.85,100000,0.77,100000,0.77
DC0328,24.567,-81.888,1.27,211500,150000,1.06,100000,0.95,100000,0.95
DC0329,28.301,-81.418,1.86,134900,150000,0.67,100000,0.61,100000,0.61
DC0330,30.273,-82.605,2.74,130600,150000,0.65,100000,0.59,100000,0.59
DC0331,26.807,-80.081,4.09,169700,150000,0.85,100000,0.76,100000,0.76
DC0332,27.869,-81.615,7.90,134700,150000,0.67,100000,0.61,100000,0.61
DC0333,26.619,-80.059,1.97,172400,150000,0.86,100000,0.78,100000,0.78
DC0334,28.048,-81.992,0.48,137300,150000,0.69,100000,0.62,100000,0.62
DC0335,27.878,-82.754,2.77,147500,150000,0.74,100000,0.66,100000,0.66
DC0336,28.79,-81.877,3.18,133300,150000,0.67,100000,0.6,100000,0.6
DC0337,30.289,-82.999,4.01,128900,150000,0.64,100000,0.58,100000,0.58
DC0338,24.721,-81.064,7.45,206700,150000,1.03,100000,0.93,100000,0.93
DC0339,30.671,-85.231,0.36,131400,150000,0.66,100000,0.59,100000,0.59
DC0340,25.824,-80.31,4.16,210800,150000,1.05,100000,0.95,100000,0.95
DC0341,27.967,-80.788,0.52,156500,150000,0.78,100000,0.7,100000,0.7
DC0342,28.471,-80.699,6.96,145900,150000,0.73,100000,0.66,100000,0.66
DC0343,25.804,-80.319,7.58,214800,150000,1.07,100000,0.97,100000,0.97
DC0344,25.883,-80.238,7.84,163300,150000,0.82,100000,0.73,100000,0.73
DC0345,30.07,-81.888,0.23,130000,150000,0.65,100000,0.59,100000,0.59
DC0346,30.492,-84.491,3.43,130500,150000,0.65,100000,0.59,100000,0.59
DC0347,30.608,-86.962,6.17,127500,150000,0.64,100000,0.57,100000,0.57
DC0348,25.991,-80.279,1.88,177200,150000,0.89,100000,0.8,100000,0.8
DC0349,28.752,-81.636,2.11,125500,150000,0.63,100000,0.56,100000,0.56
DC0350,26.215,-80.221,1.43,176300,150000,0.88,100000,0.79,100000,0.79
DC0351,26.132,-81.795,1.29,214000,150000,1.07,100000,0.96,100000,0.96
DC0352,25.926,-80.182,1.53,174400,150000,0.87,100000,0.78,100000,0.78
DC0353,26.142,-80.176,4.29,171600,150000,0.86,100000,0.77,100000,0.77
DC0354,29.156,-82.204,7.46,128800,150000,0.64,100000,0.58,100000,0.58
DC0355,28.939,-81.307,6.02,159700,150000,0.8,100000,0.72,100000,0.72
DC0356,30.164,-81.746,5.33,132500,150000,0.66,100000,0.6,100000,0.6
DC0357,28.61,-80.68,0.11,149600,150000,0.75,100000,0.67,100000,0.67
DC0358,29.289,-81.186,2.97,150200,150000,0.75,100000,0.68,100000,0.68
DC0359,30.636,-87.182,6.10,134300,150000,0.67,100000,0.6,100000,0.6
DC0360,29.762,-81.735,0.30,128700,150000,0.64,100000,0.58,100000,0.58
DC0361,28.03,-80.605,5.19,142700,150000,0.71,100000,0.64,100000,0.64
DC0362,29.51,-81.219,0.95,159700,150000,0.8,100000,0.72,100000,0.72
DC0363,30.192,-85.674,4.96,138700,150000,0.69,100000,0.62,100000,0.62
DC0364,30.179,-85.684,2.87,136400,150000,0.68,100000,0.61,100000,0.61
DC0365,26.02,-80.224,6.71,172000,150000,0.86,100000,0.77,100000,0.77
DC0366,30.406,-87.292,5.25,131100,150000,0.66,100000,0.59,100000,0.59
DC0367,27.844,-82.708,1.75,154300,150000,0.77,100000,0.69,100000,0.69
DC0368,28.098,-82.15,0.62,140500,150000,0.7,100000,0.63,100000,0.63
DC0369,26.278,-80.109,2.02,162300,150000,0.81,100000,0.73,100000,0.73
DC0370,26.978,-82.15,6.43,159600,150000,0.8,100000,0.72,100000,0.72
DC0371,29.085,-81.064,2.62,154900,150000,0.77,100000,0.7,100000,0.7
DC0372,27.365,-80.31,1.80,169200,150000,0.85,100000,0.76,100000,0.76
DC0373,26.913,-82.048,0.66,156300,150000,0.78,100000,0.7,100000,0.7
DC0374,30.464,-84.648,5.07,129300,150000,0.65,100000,0.58,100000,0.58
DC0375,27.859,-82.34,5.76,145200,150000,0.73,100000,0.65,100000,0.65
DC0376,26.771,-80.07,1.18,172800,150000,0.86,100000,0.78,100000,0.78
DC0377,28.292,-80.788,2.68,150800,150000,0.75,100000,0.68,100000,0.68
DC0378,29.758,-81.318,1.06,141100,150000,0.71,100000,0.63,100000,0.63
DC0379,27.79,-82.681,0.56,156500,150000,0.78,100000,0.7,100000,0.7
DC0380,28.801,-81.307,7.69,161300,150000,0.81,100000,0.73,100000,0.73
DC0381,27.335,-82.537,0.57,146800,150000,0.73,100000,0.66,100000,0.66
DC0382,27.796,-80.488,6.33,172200,150000,0.86,100000,0.77,100000,0.77
DC0383,27.506,-81.395,0.53,136800,150000,0.68,100000,0.62,100000,0.62
DC0384,28.466,-82.6,5.39,156500,150000,0.78,100000,0.7,100000,0.7
DC0385,27.192,-80.249,6.07,177400,150000,0.89,100000,0.8,100000,0.8
DC0386,26.155,-80.271,6.53,167700,150000,0.84,100000,0.75,100000,0.75
DC0387,30.385,-84.229,1.38,134300,150000,0.67,100000,0.6,100000,0.6
DC0388,27.891,-82.502,2.37,149100,150000,0.75,100000,0.67,100000,0.67
DC0389,28.537,-80.821,1.46,155300,150000,0.78,100000,0.7,100000,0.7
DC0390,27.756,-80.766,5.01,162200,150000,0.81,100000,0.73,100000,0.73
DC0391,26.709,-80.109,2.60,175800,150000,0.88,100000,0.79,100000,0.79
DC0392,28.439,-81.625,1.08,141800,150000,0.71,100000,0.64,100000,0.64
DC0393,27.996,-81.79,0.66,140400,150000,0.7,100000,0.63,100000,0.63
DC0394,28.23,-82.226,4.11,135500,150000,0.68,100000,0.61,100000,0.61
DC0395,34.358,-84.899,7.71,112300,150000,0.56,100000,0.51,100000,0.51
DC0396,31.53,-84.175,3.59,133400,150000,0.67,100000,0.6,100000,0.6
DC0397,31.541,-82.432,4.95,147300,150000,0.74,100000,0.66,100000,0.66
DC0398,32.063,-84.165,2.59,109400,150000,0.55,100000,0.49,100000,0.49
DC0399,33.95,-83.41,3.81,129900,150000,0.65,100000,0.58,100000,0.58
DC0400,34.067,-84.091,4.18,128500,150000,0.64,100000,0.58,100000,0.58
DC0401,33.465,-82.073,0.95,122600,150000,0.61,100000,0.55,100000,0.55
DC0402,33.842,-84.632,5.45,133500,150000,0.67,100000,0.6,100000,0.6
DC0403,31.176,-81.505,0.67,128000,150000,0.64,100000,0.58,100000,0.58
DC0404,34.12,-84.038,0.22,128900,150000,0.64,100000,0.58,100000,0.58
DC0405,30.835,-84.207,3.39,134400,150000,0.67,100000,0.6,100000,0.6
DC0406,34.275,-84.501,3.59,132200,150000,0.66,100000,0.59,100000,0.59
DC0407,33.568,-85.148,0.28,111900,150000,0.56,100000,0.5,100000,0.5
DC0408,34.158,-84.878,6.28,131900,150000,0.66,100000,0.59,100000,0.59
DC0409,33.899,-84.302,5.21,124400,150000,0.62,100000,0.56,100000,0.56
DC0410,32.467,-84.964,1.52,107500,150000,0.54,100000,0.48,100000,0.48
DC0411,33.718,-83.996,4.12,129500,150000,0.65,100000,0.58,100000,0.58
DC0412,34.528,-83.582,4.34,124900,150000,0.62,100000,0.56,100000,0.56
DC0413,34.2,-84.091,3.22,122300,150000,0.61,100000,0.55,100000,0.55
DC0414,33.968,-83.879,6.80,126000,150000,0.63,100000,0.57,100000,0.57
DC0415,34.749,-84.992,3.53,117500,150000,0.59,100000,0.53,100000,0.53
DC0416,31.552,-82.81,1.25,145300,150000,0.73,100000,0.65,100000,0.65
DC0417,33.663,-84.752,5.64,134800,150000,0.67,100000,0.61,100000,0.61
DC0418,32.497,-82.929,1.57,121800,150000,0.61,100000,0.55,100000,0.55
DC0419,33.683,-84.449,6.30,134600,150000,0.67,100000,0.61,100000,0.61
DC0420,33.559,-82.161,6.32,118100,150000,0.59,100000,0.53,100000,0.53
DC0421,33.615,-84.669,8.00,125100,150000,0.63,100000,0.56,100000,0.56
DC0422,33.474,-84.501,4.83,124400,150000,0.62,100000,0.56,100000,0.56
DC0423,33.614,-84.386,1.28,123800,150000,0.62,100000,0.56,100000,0.56
DC0424,34.949,-85.244,2.11,120100,150000,0.6,100000,0.54,100000,0.54
DC0425,34.319,-83.816,0.97,130800,150000,0.65,100000,0.59,100000,0.59
DC0426,33.283,-84.249,1.97,132300,150000,0.66,100000,0.6,100000,0.6
DC0427,31.831,-81.625,3.63,150600,150000,0.75,100000,0.68,100000,0.68
DC0428,33.314,-83.953,6.36,124000,150000,0.62,100000,0.56,100000,0.56
DC0429,34.096,-83.571,3.51,133700,150000,0.67,100000,0.6,100000,0.6
DC0430,32.656,-83.358,6.36,119400,150000,0.6,100000,0.54,100000,0.54
DC0431,33.521,-84.323,3.08,131800,150000,0.66,100000,0.59,100000,0.59
DC0432,32.477,-83.603,2.55,109400,150000,0.55,100000,0.49,100000,0.49
DC0433,34.004,-84.658,4.50,125900,150000,0.63,100000,0.57,100000,0.57
DC0434,30.791,-81.713,1.41,133700,150000,0.67,100000,0.6,100000,0.6
DC0435,33.03,-85.148,0.32,112400,150000,0.56,100000,0.51,100000,0.51
DC0436,30.736,-83.101,2.94,131100,150000,0.66,100000,0.59,100000,0.59
DC0437,33.868,-84.112,1.74,125800,150000,0.63,100000,0.57,100000,0.57
DC0438,33.758,-84.637,7.19,130300,150000,0.65,100000,0.59,100000,0.59
DC0439,33.669,-84.133,4.62,128500,150000,0.64,100000,0.58,100000,0.58
DC0440,33.803,-83.911,6.08,128500,150000,0.64,100000,0.58,100000,0.58
DC0441,32.84,-83.63,3.53,127100,150000,0.64,100000,0.57,100000,0.57
DC0442,33.601,-83.443,7.86,129600,150000,0.65,100000,0.58,100000,0.58
DC0443,33.949,-84.538,0.80,126900,150000,0.63,100000,0.57,100000,0.57
DC0444,33.448,-84.175,5.24,133500,150000,0.67,100000,0.6,100000,0.6
DC0445,31.768,-81.362,7.08,137000,150000,0.69,100000,0.62,100000,0.62
DC0446,33.098,-83.229,6.24,120600,150000,0.6,100000,0.54,100000,0.54
DC0447,33.583,-84.328,5.25,126000,150000,0.63,100000,0.57,100000,0.57
DC0448,31.086,-83.699,3.57,137400,150000,0.69,100000,0.62,100000,0.62
DC0449,33.379,-84.899,6.23,103400,150000,0.52,100000,0.47,100000,0.47
DC0450,33.94,-84.217,4.94,129400,150000,0.65,100000,0.58,100000,0.58
DC0451,34.2,-83.646,2.23,131600,150000,0.66,100000,0.59,100000,0.59
DC0452,32.088,-81.263,4.55,148800,150000,0.74,100000,0.67,100000,0.67
DC0453,32.3,-81.23,2.76,145400,150000,0.73,100000,0.65,100000,0.65
DC0454,34.306,-85.252,0.67,119500,150000,0.6,100000,0.54,100000,0.54
DC0455,34.057,-84.344,7.23,134100,150000,0.67,100000,0.6,100000,0.6
DC0456,31.986,-81.087,7.38,143700,150000,0.72,100000,0.65,100000,0.65
DC0457,33.864,-84.027,2.79,128900,150000,0.64,100000,0.58,100000,0.58
DC0458,32.384,-81.801,4.73,137600,150000,0.69,100000,0.62,100000,0.62
DC0459,33.549,-84.207,5.75,134000,150000,0.67,100000,0.6,100000,0.6
DC0460,34.067,-84.091,7.23,132900,150000,0.66,100000,0.6,100000,0.6
DC0461,30.782,-84.038,1.83,140900,150000,0.7,100000,0.63,100000,0.63
DC0462,31.49,-83.571,0.01,138700,150000,0.69,100000,0.62,100000,0.62
DC0463,30.773,-83.379,3.78,134000,150000,0.67,100000,0.6,100000,0.6
DC0464,32.241,-82.41,7.95,121500,150000,0.61,100000,0.55,100000,0.55
DC0465,33.715,-84.919,5.17,132600,150000,0.66,100000,0.6,100000,0.6
DC0466,32.66,-83.667,7.73,108500,150000,0.54,100000,0.49,100000,0.49
DC0467,31.23,-82.356,1.34,138500,150000,0.69,100000,0.62,100000,0.62
DC0468,34.134,-84.575,0.90,125000,150000,0.63,100000,0.56,100000,0.56
DC0469,43.056,-94.274,7.73,146400,150000,0.73,100000,0.66,100000,0.66
DC0470,41.639,-93.45,0.13,147400,150000,0.74,100000,0.66,100000,0.66
DC0471,42.032,-93.591,1.96,152700,150000,0.76,100000,0.69,100000,0.69
DC0472,41.715,-93.571,4.92,146300,150000,0.73,100000,0.66,100000,0.66
DC0473,42.053,-93.866,6.75,142700,150000,0.71,100000,0.64,100000,0.64
DC0474,40.852,-91.116,4.58,126900,150000,0.63,100000,0.57,100000,0.57
DC0475,42.015,-94.852,2.24,143300,150000,0.72,100000,0.64,100000,0.64
DC0476,42.563,-92.5,3.07,152200,150000,0.76,100000,0.68,100000,0.68
DC0477,42.017,-91.666,0.20,129200,150000,0.65,100000,0.58,100000,0.58
DC0478,41.98,-91.66,6.20,136400,150000,0.68,100000,0.61,100000,0.61
DC0479,41.052,-93.319,6.85,147200,150000,0.74,100000,0.66,100000,0.66
DC0480,42.77,-95.52,4.41,137200,150000,0.69,100000,0.62,100000,0.62
DC0481,41.88,-90.262,5.00,126700,150000,0.63,100000,0.57,100000,0.57
DC0482,41.7,-91.589,5.28,130300,150000,0.65,100000,0.59,100000,0.59
DC0483,41.221,-95.888,4.28,141700,150000,0.71,100000,0.64,100000,0.64
DC0484,41.61,-90.516,3.75,131300,150000,0.66,100000,0.59,100000,0.59
DC0485,41.6,-93.61,2.86,149100,150000,0.75,100000,0.67,100000,0.67
DC0486,41.6,-93.61,5.11,142000,150000,0.71,100000,0.64,100000,0.64
DC0487,42.529,-90.696,3.34,129100,150000,0.65,100000,0.58,100000,0.58
DC0488,42.514,-94.192,7.97,143400,150000,0.72,100000,0.65,100000,0.65
DC0489,41.611,-91.502,1.29,136500,150000,0.68,100000,0.61,100000,0.61
DC0490,42.116,-90.639,7.28,125500,150000,0.63,100000,0.56,100000,0.56
DC0491,43.168,-93.218,7.70,156400,150000,0.78,100000,0.7,100000,0.7
DC0492,40.989,-91.56,3.07,133500,150000,0.67,100000,0.6,100000,0.6
DC0493,41.054,-92.421,5.05,143300,150000,0.72,100000,0.64,100000,0.64
DC0494,41.033,-95.835,3.95,146200,150000,0.73,100000,0.66,100000,0.66
DC0495,41.532,-95.457,0.51,141400,150000,0.71,100000,0.64,100000,0.64
DC0496,42.698,-92.599,1.41,153000,150000,0.77,100000,0.69,100000,0.69
DC0497,42.517,-96.44,2.21,143500,150000,0.72,100000,0.65,100000,0.65
DC0498,42.429,-92.362,6.44,142800,150000,0.71,100000,0.64,100000,0.64
DC0499,43.281,-91.482,2.10,132200,150000,0.66,100000,0.59,100000,0.59
DC0500,43.636,-116.329,0.96,148600,150000,0.74,100000,0.67,100000,0.67
DC0501,47.672,-116.708,2.38,137700,150000,0.69,100000,0.62,100000,0.62
DC0502,43.554,-111.881,6.00,141900,150000,0.71,100000,0.64,100000,0.64
DC0503,43.564,-116.404,6.53,151300,150000,0.76,100000,0.68,100000,0.68
DC0504,43.59,-116.613,6.66,145100,150000,0.73,100000,0.65,100000,0.65
DC0505,42.868,-112.443,1.51,153600,150000,0.77,100000,0.69,100000,0.69
DC0506,47.732,-116.975,4.11,142900,150000,0.71,100000,0.64,100000,0.64
DC0507,42.399,-114.561,0.55,149900,150000,0.75,100000,0.67,100000,0.67
DC0508,41.669,-87.727,2.55,143000,150000,0.72,100000,0.64,100000,0.64
DC0509,38.935,-90.14,4.58,140800,150000,0.7,100000,0.63,100000,0.63
DC0510,42.066,-87.987,7.32,136200,150000,0.68,100000,0.61,100000,0.61
DC0511,38.517,-89.897,5.84,135200,150000,0.68,100000,0.61,100000,0.61
DC0512,40.477,-88.932,0.43,122100,150000,0.61,100000,0.55,100000,0.55
DC0513,41.695,-88.08,4.32,139900,150000,0.7,100000,0.63,100000,0.63
DC0514,41.146,-87.86,1.52,117700,150000,0.59,100000,0.53,100000,0.53
DC0515,42.169,-87.963,6.59,137100,150000,0.69,100000,0.62,100000,0.62
DC0516,37.728,-89.215,8.00,134300,150000,0.67,100000,0.6,100000,0.6
DC0517,38.07,-88.149,1.59,115200,150000,0.58,100000,0.52,100000,0.52
DC0518,41.919,-88.134,5.97,139700,150000,0.7,100000,0.63,100000,0.63
DC0519,42.12,-88.29,3.88,134900,150000,0.67,100000,0.61,100000,0.61
DC0520,40.117,-88.241,1.54,125900,150000,0.63,100000,0.57,100000,0.57
DC0521,41.849,-87.671,5.85,134500,150000,0.67,100000,0.61,100000,0.61
DC0522,41.848,-87.767,4.03,140300,150000,0.7,100000,0.63,100000,0.63
DC0523,40.131,-87.629,3.25,126900,150000,0.63,100000,0.57,100000,0.57
DC0524,41.893,-88.769,1.04,119000,150000,0.6,100000,0.54,100000,0.54
DC0525,42.015,-87.899,3.30,132000,150000,0.66,100000,0.59,100000,0.59
DC0526,38.019,-89.285,1.01,128400,150000,0.64,100000,0.58,100000,0.58
DC0527,40.685,-89.54,2.39,127500,150000,0.64,100000,0.57,100000,0.57
DC0528,38.841,-89.944,7.62,135100,150000,0.68,100000,0.61,100000,0.61
DC0529,39.125,-88.576,0.88,131600,150000,0.66,100000,0.59,100000,0.59
DC0530,41.891,-87.943,4.27,143400,150000,0.72,100000,0.65,100000,0.65
DC0531,41.406,-88.11,4.25,122100,150000,0.61,100000,0.55,100000,0.55
DC0532,38.601,-90.009,6.46,140600,150000,0.7,100000,0.63,100000,0.63
DC0533,39.92,-88.965,6.31,119900,150000,0.6,100000,0.54,100000,0.54
DC0534,40.938,-90.394,3.77,127200,150000,0.64,100000,0.57,100000,0.57
DC0535,38.763,-89.958,4.59,131200,150000,0.66,100000,0.59,100000,0.59
DC0536,41.928,-88.075,7.32,139700,150000,0.7,100000,0.63,100000,0.63
DC0537,42.092,-87.821,0.79,137500,150000,0.69,100000,0.62,100000,0.62
DC0538,38.861,-89.436,5.30,130900,150000,0.65,100000,0.59,100000,0.59
DC0539,42.445,-88.615,7.31,121700,150000,0.61,100000,0.55,100000,0.55
DC0540,41.5,-88.046,3.75,133500,150000,0.67,100000,0.6,100000,0.6
DC0541,41.261,-89.944,4.10,125700,150000,0.63,100000,0.57,100000,0.57
DC0542,41.791,-87.865,3.71,131400,150000,0.66,100000,0.59,100000,0.59
DC0543,38.59,-89.832,3.42,139700,150000,0.7,100000,0.63,100000,0.63
DC0544,42.287,-87.943,5.05,144800,150000,0.72,100000,0.65,100000,0.65
DC0545,42.004,-87.735,4.93,142800,150000,0.71,100000,0.64,100000,0.64
DC0546,41.794,-88.08,2.56,142500,150000,0.71,100000,0.64,100000,0.64
DC0547,41.873,-88.002,3.82,143500,150000,0.72,100000,0.65,100000,0.65
DC0548,42.375,-89.023,3.29,121900,150000,0.61,100000,0.55,100000,0.55
DC0549,41.24,-87.796,1.50,124100,150000,0.62,100000,0.56,100000,0.56
DC0550,37.698,-88.922,4.30,117800,150000,0.59,100000,0.53,100000,0.53
DC0551,39.516,-88.363,2.89,123300,150000,0.62,100000,0.55,100000,0.55
DC0552,41.905,-87.86,1.03,133700,150000,0.67,100000,0.6,100000,0.6
DC0553,41.49,-90.497,4.95,136700,150000,0.68,100000,0.62,100000,0.62
DC0554,41.391,-88.44,1.68,122200,150000,0.61,100000,0.55,100000,0.55
DC0555,39.999,-90.734,1.37,127600,150000,0.64,100000,0.57,100000,0.57
DC0556,38.317,-88.903,6.80,141400,150000,0.71,100000,0.64,100000,0.64
DC0557,41.697,-88.197,0.54,126500,150000,0.63,100000,0.57,100000,0.57
DC0558,41.513,-87.963,7.13,139600,150000,0.7,100000,0.63,100000,0.63
DC0559,41.813,-88.339,7.92,118100,150000,0.59,100000,0.53,100000,0.53
DC0560,42.127,-87.845,3.20,144100,150000,0.72,100000,0.65,100000,0.65
DC0561,38.59,-89.907,1.14,136500,150000,0.68,100000,0.61,100000,0.61
DC0562,41.631,-87.826,2.11,134400,150000,0.67,100000,0.6,100000,0.6
DC0563,41.659,-88.314,6.42,122900,150000,0.61,100000,0.55,100000,0.55
DC0564,41.375,-88.846,1.06,119900,150000,0.6,100000,0.54,100000,0.54
DC0565,42.13,-88.022,5.00,144700,150000,0.72,100000,0.65,100000,0.65
DC0566,41.483,-87.683,5.70,124700,150000,0.62,100000,0.56,100000,0.56
DC0567,40.807,-89.635,6.04,123800,150000,0.62,100000,0.56,100000,0.56
DC0568,41.692,-88.537,3.84,124100,150000,0.62,100000,0.56,100000,0.56
DC0569,41.4,-89.436,6.56,128200,150000,0.64,100000,0.58,100000,0.58
DC0570,39.942,-91.395,2.56,121800,150000,0.61,100000,0.55,100000,0.55
DC0571,41.74,-89.719,5.13,128600,150000,0.64,100000,0.58,100000,0.58
DC0572,41.51,-90.57,6.09,131100,150000,0.66,100000,0.59,100000,0.59
DC0573,42.213,-89.152,5.34,124000,150000,0.62,100000,0.56,100000,0.56
DC0574,41.92,-88.3,5.21,115300,150000,0.58,100000,0.52,100000,0.52
DC0575,41.518,-88.217,7.91,125500,150000,0.63,100000,0.56,100000,0.56
DC0576,41.348,-89.218,2.88,125800,150000,0.63,100000,0.57,100000,0.57
DC0577,39.785,-89.672,1.47,125300,150000,0.63,100000,0.56,100000,0.56
DC0578,41.57,-87.786,6.76,143100,150000,0.72,100000,0.64,100000,0.64
DC0579,41.444,-87.722,5.45,119600,150000,0.6,100000,0.54,100000,0.54
DC0580,40.106,-88.212,5.85,129900,150000,0.65,100000,0.58,100000,0.58
DC0581,42.228,-87.963,2.68,141100,150000,0.71,100000,0.63,100000,0.63
DC0582,41.877,-87.978,2.80,144200,150000,0.72,100000,0.65,100000,0.65
DC0583,40.815,-87.737,6.98,113400,150000,0.57,100000,0.51,100000,0.51
DC0584,42.344,-88.44,5.39,126800,150000,0.63,100000,0.57,100000,0.57
DC0585,40.055,-85.674,4.99,124400,150000,0.62,100000,0.56,100000,0.56
DC0586,41.525,-85.055,7.80,121600,150000,0.61,100000,0.55,100000,0.55
DC0587,39.772,-86.409,7.00,124400,150000,0.62,100000,0.56,100000,0.56
DC0588,38.872,-86.479,4.82,131100,150000,0.66,100000,0.59,100000,0.59
DC0589,39.218,-86.57,4.58,125900,150000,0.63,100000,0.57,100000,0.57
DC0590,40.716,-85.169,3.88,127400,150000,0.64,100000,0.57,100000,0.57
DC0591,39.864,-86.399,3.44,131700,150000,0.66,100000,0.59,100000,0.59
DC0592,39.819,-85.169,5.80,125400,150000,0.63,100000,0.56,100000,0.56
DC0593,39.987,-86.084,6.44,131400,150000,0.66,100000,0.59,100000,0.59
DC0594,38.309,-85.772,7.25,137100,150000,0.69,100000,0.62,100000,0.62
DC0595,39.127,-85.971,0.27,127400,150000,0.64,100000,0.57,100000,0.57
DC0596,38.173,-87.002,3.78,113900,150000,0.57,100000,0.51,100000,0.51
DC0597,39.354,-85.967,0.24,120500,150000,0.6,100000,0.54,100000,0.54
DC0598,41.72,-85.982,2.88,121000,150000,0.61,100000,0.54,100000,0.54
DC0599,37.962,-87.47,7.39,118600,150000,0.59,100000,0.53,100000,0.53
DC0600,39.965,-86.022,7.11,126400,150000,0.63,100000,0.57,100000,0.57
DC0601,41.055,-85.303,6.67,128000,150000,0.64,100000,0.58,100000,0.58
DC0602,39.481,-86.033,5.74,126800,150000,0.63,100000,0.57,100000,0.57
DC0603,41.547,-85.869,5.00,118100,150000,0.59,100000,0.53,100000,0.53
DC0604,39.779,-85.726,5.98,126500,150000,0.63,100000,0.57,100000,0.57
DC0605,40.503,-85.396,2.01,130000,150000,0.65,100000,0.59,100000,0.59
DC0606,39.915,-86.227,6.11,125500,150000,0.63,100000,0.56,100000,0.56
DC0607,40.437,-86.104,7.60,129400,150000,0.65,100000,0.58,100000,0.58
DC0608,40.435,-86.877,4.59,120200,150000,0.6,100000,0.54,100000,0.54
DC0609,39.146,-84.878,1.37,130400,150000,0.65,100000,0.59,100000,0.59
DC0610,38.834,-85.376,1.31,134200,150000,0.67,100000,0.6,100000,0.6
DC0611,40.613,-85.623,4.02,126700,150000,0.63,100000,0.57,100000,0.57
DC0612,41.47,-87.322,6.77,114300,150000,0.57,100000,0.51,100000,0.51
DC0613,41.699,-86.882,6.55,120700,150000,0.6,100000,0.54,100000,0.54
DC0614,41.686,-86.145,7.70,120400,150000,0.6,100000,0.54,100000,0.54
DC0615,39.574,-86.358,6.02,121800,150000,0.61,100000,0.55,100000,0.55
DC0616,40.24,-85.458,4.75,129900,150000,0.65,100000,0.58,100000,0.58
DC0617,41.544,-87.51,6.43,123700,150000,0.62,100000,0.56,100000,0.56
DC0618,40.054,-85.951,3.35,119800,150000,0.6,100000,0.54,100000,0.54
DC0619,39.01,-85.623,7.14,134200,150000,0.67,100000,0.6,100000,0.6
DC0620,39.965,-85.746,1.34,124700,150000,0.62,100000,0.56,100000,0.56
DC0621,39.689,-86.388,7.48,126500,150000,0.63,100000,0.57,100000,0.57
DC0622,41.344,-86.378,4.28,124200,150000,0.62,100000,0.56,100000,0.56
DC0623,39.828,-84.899,6.03,117400,150000,0.59,100000,0.53,100000,0.53
DC0624,41.483,-87.451,2.55,117300,150000,0.59,100000,0.53,100000,0.53
DC0625,38.957,-85.89,2.43,131800,150000,0.66,100000,0.59,100000,0.59
DC0626,41.722,-86.317,3.49,118900,150000,0.59,100000,0.54,100000,0.54
DC0627,41.678,-86.253,2.56,113200,150000,0.57,100000,0.51,100000,0.51
DC0628,39.354,-87.401,0.30,121900,150000,0.61,100000,0.55,100000,0.55
DC0629,39.473,-87.396,3.68,129300,150000,0.65,100000,0.58,100000,0.58
DC0630,41.461,-86.962,7.67,123000,150000,0.62,100000,0.55,100000,0.55
DC0631,38.606,-87.52,1.48,123900,150000,0.62,100000,0.56,100000,0.56
DC0632,40.782,-85.828,4.30,126700,150000,0.63,100000,0.57,100000,0.57
DC0633,41.554,-86.073,7.60,118400,150000,0.59,100000,0.53,100000,0.53
DC0634,41.264,-85.787,0.02,130000,150000,0.65,100000,0.59,100000,0.59
DC0635,41.033,-86.701,0.32,118000,150000,0.59,100000,0.53,100000,0.53
DC0636,40.192,-85.53,6.81,120000,150000,0.6,100000,0.54,100000,0.54
DC0637,39.983,-86.277,4.52,131400,150000,0.66,100000,0.59,100000,0.59
DC0638,39.524,-97.655,4.05,129700,150000,0.65,100000,0.58,100000,0.58
DC0639,37.568,-97.201,3.87,144300,150000,0.72,100000,0.65,100000,0.65
DC0640,37.762,-100.036,6.08,137200,150000,0.69,100000,0.62,100000,0.62
DC0641,37.671,-97.59,5.79,137900,150000,0.69,100000,0.62,100000,0.62
DC0642,38.906,-99.323,0.35,147000,150000,0.74,100000,0.66,100000,0.66
DC0643,38.112,-97.938,2.54,143800,150000,0.72,100000,0.65,100000,0.65
DC0644,38.993,-96.878,6.14,141300,150000,0.71,100000,0.64,100000,0.64
DC0645,39.06,-94.61,1.60,141300,150000,0.71,100000,0.64,100000,0.64
DC0646,38.963,-94.78,0.75,146500,150000,0.73,100000,0.66,100000,0.66
DC0647,38.907,-94.873,4.98,145600,150000,0.73,100000,0.66,100000,0.66
DC0648,38.577,-95.268,0.55,138700,150000,0.69,100000,0.62,100000,0.62
DC0649,39.237,-99.323,3.63,149100,150000,0.75,100000,0.67,100000,0.67
DC0650,39.031,-94.635,7.93,146400,150000,0.73,100000,0.66,100000,0.66
DC0651,38.862,-97.655,2.41,140000,150000,0.7,100000,0.63,100000,0.63
DC0652,39.01,-94.785,6.08,138000,150000,0.69,100000,0.62,100000,0.62
DC0653,38.984,-95.698,3.50,138000,150000,0.69,100000,0.62,100000,0.62
DC0654,37.672,-97.314,5.11,143900,150000,0.72,100000,0.65,100000,0.65
DC0655,38.48,-82.654,7.53,137800,150000,0.69,100000,0.62,100000,0.62
DC0656,37.785,-85.458,5.70,130300,150000,0.65,100000,0.59,100000,0.59
DC0657,36.962,-86.317,2.91,132400,150000,0.66,100000,0.6,100000,0.6
DC0658,36.99,-86.44,2.89,125300,150000,0.63,100000,0.56,100000,0.56
